gtin,descp,ncm,preco
07896021626304,DESODOR LIMPPANO PASTIL ADES FRES L,38089419,5.56
07898141930309,OVOS TP GRANDE VERM C20UN,04072900,12.283975903614458
07891962036847,BATATA PALHA VISCONTI EXT FINA 70G,20052000,3.130207468879668
05601252231058,AZ GALLO 200ML,15091000,11.326421404682273
07891000115909,FRISKIES SH 85G MIX,23099010,2.4284745762711863
07894900010398,REFRIG COCA COLA 220ML LT,22021000,6.127402597402598
07898524190078,MASSA PASTEL ESTRELA,19021900,6.6937500000000005
07891024035535,SAB BARR ANTIB PROTE,34011190,9.55872340425532
07891152321302,BISC SALG FORTAL 400,19053100,3.791592920353982
07891048050613,GELATINA DR OETKER AMORA 20GR,21069029,1.2105263157894737
07622300873455,BISC OREO CHOCOLATE 36G,19053100,1.5078350515463916
07898623950023,MASC.TRAT.SALON LINE SOS HID INTENSA,33059000,16.990000000000002
07896490290648,REF FRISCO 25G LARAN,21069010,0.9567698019801981
07891024127704,AJAX FDF 500ML FLORE,34022000,4.024193548387097
04005900294739,SBT NIVEA 90G SOFT M,34012010,2.923684210526316
07893000437029,CORACAO FRANGO SADIA BDJ 1KG,02071400,20.353617021276595
07897520015958,SHAMP.COND.PROCAO,33079000,7.9
07891000011300,NESTON 3 CEREAIS NESTLE 400G LT,19019090,10.718
07896005805121,CAP CAFE LEITE 3 COR,21011200,23.916607142857142
07897080600151,FARINHA MAND DAGUA COLIBRI 1KG,11062000,3.3480357142857144
07899916907762,BEB FRUTA NAT ONE FI,20099000,16.5
07898343970264,OREGANO D CARM 20G,12119010,3.69
07896036091425,OLEO GIRASSOL MAZOLA PET,15121911,12.111951219512195
07896003703795,BISC PIT STOP INTEG,19053100,3.4705555555555554
07891152300567,REC ESCUR 140G CH/BA,19053100,2.4144884488448843
17893000979939,MARGARINA DELINE C/ SAL 250G,15171000,82.46400000000001
07896098906149,SABAO YPE FLORESFRUTAS 200G,34011900,2.0081967213114753
07898514351984,MILHO PIPOCA SANDELL,10059010,4.989999999999999
07896104871553,CEREAL MAT RITTER BANCHOC LIGHT 75,18063220,3.99
07898287710025,FILME PVC LUSAFILM30,39204390,4.689781021897811
07896001017528,VASSOURA NOVICA PIACAVA BT1752,96039000,13.19
07891144000147,VINAGRE TOSCANO,22090000,4.645611510791367
17898959504102,COMPOSTO LACTEO,19019090,211.06636363636363
07891528030142,CR.DENT.SORRISO DENT.BRANCOS,33061000,2.5465789473684213
07896058593150,AMEND PETTIZ CROCANTE PIMENTA VERM,20081100,3.4499999999999997
07908099900139,PRATO PLAST COPOBRAS,39241000,1.0544444444444445
07891515432652,PRES SADIA SOLT FAT 200G,16024100,8.190000000000001
07891150055179,COND.DOVE,33059000,15.9
07896051130291,LEITE PO ITAMBE INST,04022110,13.655172413793103
07893000488601,FRANGO A PASSAR TEMP SADIA 1KG FPST,16023210,12.38046875
07896029022269,RACAO UMIDA PEDIG AD,23099010,1.524462729912875
07898055451488,BEB.LACTEA TOYA MGO,04039000,5.707967479674797
07891025102090,MINGAU CER MILNUTRI BANANAMACA 180,19011030,3.5714285714285716
07896075029328,FRIGIDEIRA ROCHEDO ONE FRANC 24,76151000,31.19
07898904771606,CERVEJA DEVASSA PURO MALTE 350ML,22030000,25.85
07891497947885,KIT 2 PCS AVENTAL C,63029100,12.97
07501009224006,APAR BARB PRESTOB UG MOV FEM 2U,82121020,9.95
07896279117234,SHAM+COND.MURIEL RESTAURACAO E MACIEZ,33059000,9.99
07898341430098,SUCO PRONTO DEL VALLE MAIS UVA TP 1L,22029900,7.919107142857143
07898247780075,OLEO SOJA CONCORDIA PET UND 1 X 1 900ML,15079011,26.7
07500435128940,COND PANTENE MICELAR 175ML,33051000,10.790000000000001
07909171956310,CHIN RIDER STRIKE 11132-20757 2936,64022000,17.8
07898540530131,KIT C 2 CALCINHA COT,61082100,15.89
07891000115619,SACHE PERU AO MOLHO,23099010,1.97
07891024038390,SAB LIQ PALM NAT SECRET UCUUBA 200M,34013000,6.47
07899544104908,LAMP.ARTEK LED,85395000,11.702912621359225
07898938236652,REFRIG ICE COLA 250ML PET,22021000,2.0523404255319146
07891024132128,CRM DENT COLG TRIP A,33061000,3.09
07898055451495,IOGURTE TOYA FRUTAS VERMELHAS,04031000,3.424107142857143
07896369632388,GE MARIZA 270G GOIAB,20079910,7.45
07891132000999,REF FIT ZERO 10G LAR,21069010,1.7482758620689656
07898148113118,PROCACHOS CO INF 300ML MELAO E MELANCIA,33059000,34.93571428571429
07896021931552,BOTIJAO TERM OASIS 5,39269090,23.48428571428571
07891800382433,HAST FL MAQUIAG 30UN,56012190,7.99
07890541025326,SAND.HAV.SPRING AR/OURO N.39/0,64022000,27.133
07891000041178,BEB LACT NEST MOR 540G 2229,22029900,4.5465217391304344
07896547907086,PIMCOMINHO CAMPIL 20G,21039021,3.24
07894321208022,AVEIA QUAKER LT 450G,11041200,8.763461538461538
07898524190078,MASSA PASTEL ESTRELA,19021900,7.831578947368421
07791293025797,DESOD AER AXE BS DARK TEMP 96G,33072010,11.39
07896037514701,CARNE BOV ANGLO CONSEV 320G LT,16025000,5.653298969072165
07891024029787,SH PALMOLIVE NAT OLEO SURPREEND 350ML,33051000,5.678888888888889
07896272000878,AZEITONA VDE VALE FERTIL FAT 180G,20057000,6.593606557377049
07896098200155,DEO COL OGGI LAVANDER VERT 500ML,33030020,16.240000000000002
07893249607351,CHIN HAV TOP LRJ CYB,64022000,7.99
07896336009311,"AMEND CROK 1,01K PIM",20081100,12.9
07896237900021,AZ VDE RAIOLITA 100G,20057000,5.8395
07896025802995,CATCHUP CEPERA SACHET 175X7G,21032010,36.675
07894904966172,LING.PAIO SEARA,16010000,6.977500000000001
07891962016818,TORRADA BAUDU INT MULTPACK 320G 681,19054000,6.357450980392157
07896029077641,RACAO P/GATOS WHISKA,23091000,4.333255813953489
07891962050751,COOKIES VISCONTI 60 G ORIGINAL UN,19053100,1.6846153846153846
07897664171671,DESINF. MAXPROTECT CITRUS MINUANO 500ML,34022000,2.99
00000078924413,DESOD ROLLON REX TEENS ENER 50G,33072010,8.41
07897344207164,SUCO GALIOTTO INTEGRAL 500 ML UVA UN,22029000,8.700000000000001
07891962037011,BISC WAFER NOZES BAUDUCCO 140G,19053200,1.848732394366197
07899389100271,TRAV ALTEMBURG SUP FIRM 45X65,94049000,26.345135135135134
07896825400827,RF.COB.ROSELI SABOR,04061090,5.344520547945205
07896241900079,AMAC KLIP 2L BRISA,38099190,4.59
07896025506695,ESPONJA BANHO MARCO BONI NYLON 40G,96162000,8.389999999999999
07896016451089,MAC PARAFUSO AFA 500GR,19021900,2.933076923076923
07891999013125,IOG VIGOR GREGO PEDACOS GRANBERRY 1,04031000,3.22
